Gene start (bp),Gene end (bp),Gene name,Transcript start (bp),Transcript end (bp)
154011931,154036296,Lhx8,154027894,154034271
105136916,105137197,Gm5870,105136916,105137197
105162016,105287406,Gbp8,105162016,105169930
105162016,105287406,Gbp8,105162016,105201422
105162016,105287406,Gbp8,105162793,105198913
105162016,105287406,Gbp8,105162019,105287406
68351382,68352594,Gm19216,68351382,68352594
68404402,68404523,Gm22319,68404402,68404523
68455702,68461260,Gm47212,68455702,68461260
3848615,3902419,Gm16066,3848615,3902419
68699080,68733866,Gm31227,68699080,68733866
27636597,27636981,Gm46506,27636597,27636981
151819162,151820571,Mageh1,151819162,151820571
89189861,89189935,Mir6959,89189861,89189935
89206923,89208934,Adm2,89206923,89208934
6468761,6594199,Nrxn2,6468761,6583247
6468761,6594199,Nrxn2,6468768,6516780
6468761,6594199,Nrxn2,6468795,6582308
6468761,6594199,Nrxn2,6468795,6582308
6468761,6594199,Nrxn2,6477953,6582541
6468761,6594199,Nrxn2,6477967,6583247
6468761,6594199,Nrxn2,6478676,6514105
6468761,6594199,Nrxn2,6478676,6522410
6468761,6594199,Nrxn2,6495490,6523383
6468761,6594199,Nrxn2,6496328,6523481
6468761,6594199,Nrxn2,6504601,6532727
6468761,6594199,Nrxn2,6523139,6532726
6468761,6594199,Nrxn2,6540857,6548119
6468761,6594199,Nrxn2,6547701,6559895
6468761,6594199,Nrxn2,6547858,6583247
6468761,6594199,Nrxn2,6547865,6594199
6468761,6594199,Nrxn2,6567235,6582326
6468761,6594199,Nrxn2,6468768,6583246
151820625,151855911,9530051G07Rik,151820625,151855911
89218601,89221218,Miox,89218601,89221218
89218601,89221218,Miox,89218664,89220327
89218601,89221218,Miox,89218843,89220838
89218601,89221218,Miox,89219133,89220615
89218601,89221218,Miox,89219134,89220617
89218601,89221218,Miox,89220636,89221214
30317311,30348167,Prkcd,30317311,30348167
30317311,30348167,Prkcd,30317315,30332259
30317311,30348167,Prkcd,30317549,30329779
30317311,30348167,Prkcd,30317551,30329779
30317311,30348167,Prkcd,30317610,30322164
30317311,30348167,Prkcd,30320364,30329779
30317311,30348167,Prkcd,30320364,30329779
30317311,30348167,Prkcd,30322219,30348129
30317311,30348167,Prkcd,30324367,30329302
30317311,30348167,Prkcd,30324476,30327628
30317311,30348167,Prkcd,30328716,30348167
30317311,30348167,Prkcd,30329075,30331252
30317311,30348167,Prkcd,30317313,30348165
47388456,47388559,U6,47388456,47388559
151895919,151896450,Gm5396,151895919,151896450
47391753,47392100,Gm7212,47391753,47392100
47395920,47396020,U6,47395920,47396020
151897049,151897763,Gm26960,151897049,151897763
143774151,144727703,Sox5,143774151,144155206
143774151,144727703,Sox5,143777341,144155284
143774151,144727703,Sox5,143778561,143892832
143774151,144727703,Sox5,143778696,144155178
143774151,144727703,Sox5,143785169,143892827
143774151,144727703,Sox5,143789465,144727703
143774151,144727703,Sox5,143790541,143892823
143774151,144727703,Sox5,143807167,143892814
143774151,144727703,Sox5,143852298,144150153
143774151,144727703,Sox5,143966868,144155206
143774151,144727703,Sox5,144050178,144727645
143774151,144727703,Sox5,144062204,144149783
143774151,144727703,Sox5,144100555,144155294
143774151,144727703,Sox5,143774151,144155294
151901782,151915857,Foxr2,151901782,151915857
151901782,151915857,Foxr2,151909893,151915857
151922977,151954939,Rragb,151922977,151954939
151922977,151954939,Rragb,151922983,151936183
105225496,105287405,Gbp9,105225496,105258142
105225496,105287405,Gbp9,105225497,105258143
105225496,105287405,Gbp9,105228002,105230629
105225496,105287405,Gbp9,105227164,105287405
121664923,121667963,Gm48804,121664923,121667963
121902248,121902926,Gm48826,121902248,121902926
121905041,121905356,Gm48827,121905041,121905356
121910693,121910903,Gm48828,121910693,121910903
121914019,121933276,Rxylt1,121914019,121933276
121914019,121933276,Rxylt1,121917165,121933061
121914019,121933276,Rxylt1,121917587,121925294
121914019,121933276,Rxylt1,121924550,121926610
121914019,121933276,Rxylt1,121924927,121932041
121914019,121933276,Rxylt1,121931961,121933031
154036458,154039891,AI606473,154036458,154039891
154036458,154039891,AI606473,154037634,154038435
95203407,95214487,Anxa9,95203407,95214115
95203407,95214487,Anxa9,95203407,95214487
95203407,95214487,Anxa9,95213244,95214115
95203407,95214487,Anxa9,95203609,95214115
67798581,67857665,Ptpn2,67798581,67857643
67798581,67857665,Ptpn2,67798582,67857658
67798581,67857665,Ptpn2,67804282,67857665
67798581,67857665,Ptpn2,67808888,67823294
152004166,152004439,Gm15153,152004166,152004439
152020462,152179128,Klf8,152020462,152153899
152020462,152179128,Klf8,152020744,152179128
152020462,152179128,Klf8,152142609,152178793
105263633,105287452,Gbp4,105263633,105287452
105263633,105287452,Gbp4,105263633,105287452
105263633,105287452,Gbp4,105270775,105287411
105263633,105287452,Gbp4,105270839,105287410
105263633,105287452,Gbp4,105273092,105287406
105263633,105287452,Gbp4,105281819,105287417
121955605,121966463,Gm4489,121955605,121966463
122005278,122006268,Gm9081,122005278,122006268
122035055,122035403,Gm48875,122035055,122035403
122222797,122270938,Gm36041,122222797,122270938
40215560,40359814,Cdk19,40215560,40356864
40215560,40359814,Cdk19,40225304,40359814
40215560,40359814,Cdk19,40225333,40358141
40215560,40359814,Cdk19,40225354,40359814
40215560,40359814,Cdk19,40225522,40358097
152186086,152187066,Gm7150,152186086,152187066
152281223,152284566,Ubqln2,152281223,152284566
27655155,27681665,Otulinl,27655155,27681601
27655155,27681665,Otulinl,27655157,27681598
27655155,27681665,Otulinl,27655157,27681665
27655155,27681665,Otulinl,27657081,27662449
27655155,27681665,Otulinl,27657088,27662526
27655155,27681665,Otulinl,27657129,27660238
152292008,152292392,Gm15166,152292008,152292392
152341589,152342425,Cypt3,152341589,152342419
152341589,152342425,Cypt3,152341589,152342425
83573528,83575276,Gm2109,83573528,83575276
54441430,54452304,Sh2d7,54441430,54452304
54441430,54452304,Sh2d7,54446272,54450938
54441430,54452304,Sh2d7,54446268,54452304
152359484,152359590,U6,152359484,152359590
111536871,111573419,Sf3b3,111536871,111573408
111536871,111573419,Sf3b3,111551067,111573419
111536871,111573419,Sf3b3,111558114,111565228
111536871,111573419,Sf3b3,111567200,111571689
111536871,111573419,Sf3b3,111571951,111573359
152439602,152440367,Gm8534,152439602,152440367
152468150,152479387,Kctd12b,152468150,152479276
152468150,152479387,Kctd12b,152468150,152479387
130476945,130477017,Snord85,130476945,130477017
130485874,130489690,Gm12971,130485874,130489690
130493642,130493724,,130493642,130493724
130503052,130503134,,130503052,130503134
130513380,130515166,Gm12972,130513380,130515166
149670925,149733356,Clstn1,149670925,149733356
149670925,149733356,Clstn1,149671095,149732356
149670925,149733356,Clstn1,149671705,149711782
149670925,149733356,Clstn1,149711587,149716630
54444469,54444686,7SK,54444469,54444686
152504153,152506877,Gm45022,152504153,152506877
36927054,36931967,Gm3896,36927054,36931967
152506586,152524916,Nbdy,152506586,152524260
152506586,152524916,Nbdy,152506589,152524258
152506586,152524916,Nbdy,152506606,152524916
152506586,152524916,Nbdy,152506623,152512184
152506586,152524916,Nbdy,152506935,152524118
152506586,152524916,Nbdy,152508829,152524080
36937695,36937803,5S_rRNA,36937695,36937803
37029952,37031360,Gm48716,37029952,37031360
95214387,95222438,6330562C20Rik,95214387,95222379
95214387,95222438,6330562C20Rik,95214983,95222428
95214387,95222438,6330562C20Rik,95218689,95222438
37049849,37050920,Gm48717,37049849,37050920
37084176,37084290,,37084176,37084290
54452078,54467502,Cib2,54452078,54467502
154282068,154302741,Tyw3,154282068,154302732
154282068,154302741,Tyw3,154285482,154300171
154282068,154302741,Tyw3,154293192,154302741
154282068,154302741,Tyw3,154282157,154302735
105362773,105441561,Gm43302,105362773,105441561
152566336,152566615,Smt3h1-ps,152566336,152566615
47430235,47496926,Bcorl1,47430235,47496926
47430235,47496926,Bcorl1,47430938,47451300
47430235,47496926,Bcorl1,47432647,47496926
47430235,47496926,Bcorl1,47450414,47468185
47430235,47496926,Bcorl1,47450497,47495586
47430235,47496926,Bcorl1,47458145,47473022
83660745,83688330,Elovl4,83660745,83688305
83660745,83688330,Elovl4,83662716,83688330
105363565,105387399,Gbp10,105363565,105387399
105363565,105387399,Gbp10,105368347,105369842
34816836,34819910,Ager,34816836,34819906
34816836,34819910,Ager,34816836,34819910
34816836,34819910,Ager,34816849,34819881
34816836,34819910,Ager,34816849,34819881
34816836,34819910,Ager,34816868,34819834
34816836,34819910,Ager,34816868,34819834
34816836,34819910,Ager,34816868,34819834
34816836,34819910,Ager,34816868,34819834
34816836,34819910,Ager,34816868,34819834
34816836,34819910,Ager,34816868,34819834
34816836,34819910,Ager,34816868,34819870
34816836,34819910,Ager,34816868,34819870
34816836,34819910,Ager,34816868,34819870
64918683,65069747,Cobll1,64918694,65069065
64918683,65069747,Cobll1,64918694,65068970
64918683,65069747,Cobll1,64918694,65068917
64918683,65069747,Cobll1,64918694,65068970
64918683,65069747,Cobll1,64981210,65069747
64918683,65069747,Cobll1,64978653,65069391
64918683,65069747,Cobll1,64964124,65069440
64918683,65069747,Cobll1,64956316,65069388
64918683,65069747,Cobll1,64966694,65066339
64918683,65069747,Cobll1,64981374,65068818
64918683,65069747,Cobll1,64966727,65068917
64918683,65069747,Cobll1,64929502,64936203
64918683,65069747,Cobll1,64918683,65068970
37119519,37135996,Tmem218,37119519,37135996
122241018,122382403,Gm48877,122241018,122382403
40224504,40226099,Cdk19os,40224504,40226099
40224504,40226099,Cdk19os,40225088,40226099
67901369,67933041,4930549G23Rik,67901369,67933041
67901369,67933041,4930549G23Rik,67909103,67933013
40424888,40425570,Gm18671,40424888,40425570
122284404,122289357,Avpr1a,122284404,122289357
67906782,67907927,Gm26910,67906782,67907927
67907946,67928557,Seh1l,67907946,67928557
67907946,67928557,Seh1l,67908045,67925663
54493618,54511945,Idh3a,54493618,54511945
54493618,54511945,Idh3a,54493765,54511229
54493618,54511945,Idh3a,54493794,54499624
54493618,54511945,Idh3a,54502378,54511220
54493618,54511945,Idh3a,54493795,54511945
72913059,73025826,Tec,72913059,73025787
72913059,73025826,Tec,72913066,73025802
72913059,73025826,Tec,72913077,73025739
72913059,73025826,Tec,72913081,72943363
72913059,73025826,Tec,72913081,73025789
72913059,73025826,Tec,72913081,73025826
72913059,73025826,Tec,72930552,73025792
72913059,73025826,Tec,72980501,73025786
72913059,73025826,Tec,72980805,73001792
26906597,26928086,Itpkc,26906597,26928053
26906597,26928086,Itpkc,26907395,26912477
26906597,26928086,Itpkc,26911990,26913879
26906597,26928086,Itpkc,26925168,26928086
40441912,40442668,Gm17795,40441912,40442668
122290037,122292714,Gm48878,122290037,122292714
122400928,122405796,A130077B15Rik,122400928,122405796
122484244,122484340,Mir6412,122484244,122484340
40446332,40480128,Slc22a16,40446332,40480128
40446332,40480128,Slc22a16,40446609,40480124
123319815,123484502,Ndst3,123319815,123484502
123319815,123484502,Ndst3,123319817,123413150
123319815,123484502,Ndst3,123319817,123484502
123319815,123484502,Ndst3,123322208,123413099
123319815,123484502,Ndst3,123322337,123483929
123319815,123484502,Ndst3,123346239,123466226
123319815,123484502,Ndst3,123350309,123353778
123319815,123484502,Ndst3,123350480,123370165
123319815,123484502,Ndst3,123319818,123466041
89235207,89239862,Lmf2,89235207,89239862
89235207,89239862,Lmf2,89235342,89239815
89235207,89239862,Lmf2,89235346,89239350
89235207,89239862,Lmf2,89235351,89239836
89235207,89239862,Lmf2,89235716,89236366
89235207,89239862,Lmf2,89236227,89237132
89235207,89239862,Lmf2,89237524,89238061
89235207,89239862,Lmf2,89238286,89239818
89235207,89239862,Lmf2,89239126,89239777
43885601,43892615,Gm36864,43885601,43892430
43885601,43892615,Gm36864,43885601,43892548
43885601,43892615,Gm36864,43885601,43892615
43889172,43889459,7SK,43889172,43889459
126178646,126178704,Mir7059,126178646,126178704
126184114,126188284,Apobr,126184114,126188284
126184114,126188284,Apobr,126184163,126187123
126184114,126188284,Apobr,126184164,126187542
126184114,126188284,Apobr,126186252,126187617
126184114,126188284,Apobr,126186846,126187497
48680717,49296986,Tenm3,48680717,49127725
48680717,49296986,Tenm3,48680961,49127719
48680717,49296986,Tenm3,48728950,48753134
48680717,49296986,Tenm3,48788228,49008348
48680717,49296986,Tenm3,48820357,49008348
48680717,49296986,Tenm3,48848471,49008881
48680717,49296986,Tenm3,48848471,49009074
48680717,49296986,Tenm3,49099296,49296986
130519848,130553630,Sdc3,130519848,130553630
130519848,130553630,Sdc3,130520015,130544584
130519848,130553630,Sdc3,130539249,130546370
130519848,130553630,Sdc3,130541615,130546370
130519848,130553630,Sdc3,130544156,130549561
122514667,122781700,Ppm1h,122514667,122716238
122514667,122781700,Ppm1h,122514683,122757879
122514667,122781700,Ppm1h,122514687,122781700
122514667,122781700,Ppm1h,122593103,122647376
122514667,122781700,Ppm1h,122647149,122651776
122514667,122781700,Ppm1h,122647307,122777193
122514667,122781700,Ppm1h,122647352,122722198
122514667,122781700,Ppm1h,122731273,122777354
83895486,84059384,Arnt2,83895486,84059327
83895486,84059384,Arnt2,83895489,84017119
83895486,84059384,Arnt2,83895489,84021739
83895486,84059384,Arnt2,83899284,83912983
83895486,84059384,Arnt2,83917134,83925079
83895486,84059384,Arnt2,83918050,83960186
83895486,84059384,Arnt2,83924598,83931602
83895486,84059384,Arnt2,83954437,83960389
83895486,84059384,Arnt2,83958300,84059091
83895486,84059384,Arnt2,83960153,84059171
83895486,84059384,Arnt2,83993059,84059384
83895486,84059384,Arnt2,83996640,84021703
83895486,84059384,Arnt2,83996644,84021866
38088132,38092232,Rell2,38088132,38091598
38088132,38092232,Rell2,38088192,38091598
38088132,38092232,Rell2,38088192,38092173
38088132,38092232,Rell2,38088200,38091598
38088132,38092232,Rell2,38088612,38092232
38088132,38092232,Rell2,38088616,38092224
38088132,38092232,Rell2,38088641,38090731
38088132,38092232,Rell2,38088642,38091598
38088132,38092232,Rell2,38088677,38092216
38088132,38092232,Rell2,38088757,38091373
38088132,38092232,Rell2,38088793,38090770
38088132,38092232,Rell2,38088867,38091572
38088132,38092232,Rell2,38089746,38091092
38088132,38092232,Rell2,38089787,38091222
38088132,38092232,Rell2,38089866,38091360
130538928,130539637,Gm12970,130538928,130539637
152615221,152617239,Spin2c,152615221,152616506
152615221,152617239,Spin2c,152615237,152616519
152615221,152617239,Spin2c,152615289,152617239
130551705,130553624,Gm26716,130551705,130553624
130585062,130585191,Gm22660,130585062,130585191
27730737,28025934,Trio,27730737,27742409
27730737,28025934,Trio,27730737,28025934
27730737,28025934,Trio,27732215,27748637
27730737,28025934,Trio,27735136,27736608
27730737,28025934,Trio,27736553,27744089
27730737,28025934,Trio,27742352,27744250
27730737,28025934,Trio,27742475,27744393
27730737,28025934,Trio,27746986,27841827
27730737,28025934,Trio,27770622,27919357
27730737,28025934,Trio,27773974,27788724
27730737,28025934,Trio,27821300,27823869
27730737,28025934,Trio,27837619,27840113
27730737,28025934,Trio,27849577,27853463
27730737,28025934,Trio,27902925,28025040
27730737,28025934,Trio,27919219,27995449
107901036,108002195,Scp2,107901036,107975729
107901036,108002195,Scp2,107901465,107905076
107901036,108002195,Scp2,107901575,107928560
107901036,108002195,Scp2,107901747,107928616
107901036,108002195,Scp2,107902032,107975673
107901036,108002195,Scp2,107944209,107975701
107901036,108002195,Scp2,107948201,107975592
107901036,108002195,Scp2,107948510,108002191
107901036,108002195,Scp2,107959506,108002195
152698112,152698211,Gm25895,152698112,152698211
152784586,152795636,Samt1,152784586,152795636
152784586,152795636,Samt1,152784586,152794260
133123088,133177733,Trmt2b,133123088,133177731
133123088,133177733,Trmt2b,133123844,133177731
133123088,133177733,Trmt2b,133123845,133177676
133123088,133177733,Trmt2b,133123849,133177669
133123088,133177733,Trmt2b,133163237,133177733
115298702,115299134,Ighv1-59,115298702,115299134
115298702,115299134,Ighv1-59,115298702,115299134
69866421,69867151,Gm18030,69866421,69867151
115308157,115308640,Ighv1-60,115308157,115308640
115322760,115323192,Ighv1-61,115322760,115323192
115335606,115336053,Ighv1-62,115335606,115336053
115350317,115350748,Ighv1-62-1,115350317,115350748
115350317,115350748,Ighv1-62-1,115350519,115350608
115350466,115361308,Gm19331,115350466,115361308
115368051,115368344,Gm37511,115368051,115368344
115376547,115376743,Gm38184,115376547,115376743
83716742,83754442,Ttk,83716742,83751546
83716742,83754442,Ttk,83716743,83754442
83716742,83754442,Ttk,83716771,83754439
83716742,83754442,Ttk,83716787,83719588
83716742,83754442,Ttk,83716794,83726480
83716742,83754442,Ttk,83716819,83725144
115410029,115410489,Ighv1-62-2,115410029,115410489
115410029,115410489,Ighv1-62-2,115410029,115410330
115424619,115425105,Ighv1-62-3,115424619,115425105
143934466,143936593,Gm44068,143934466,143936593
143967634,143969504,Sox5os1,143967634,143969504
144426951,144447142,Sox5os2,144426951,144447142
115431952,115432400,Ighv8-9,115431952,115432400
115431952,115432400,Ighv8-9,115431952,115432252
144616153,144618446,Sox5it,144616153,144618446
34820065,34822664,Rnf5,34820065,34822664
34820065,34822664,Rnf5,34820288,34822350
34820065,34822664,Rnf5,34820756,34822635
144618594,144639560,Sox5os3,144618594,144639560
144618594,144639560,Sox5os3,144625428,144639310
115439657,115440581,Gm9236,115439657,115440581
69939388,70013191,Atl1,69939388,70010800
69939388,70013191,Atl1,69939879,70013191
69939388,70013191,Atl1,69954506,69978428
69939388,70013191,Atl1,69992951,70006104
69939388,70013191,Atl1,70005180,70010430
144666637,144705609,Sox5os4,144666637,144705609
144669291,144670633,Sox5os5,144669291,144670633
144749226,144749358,Gm22792,144749226,144749358
122515220,122515320,Mir8104,122515220,122515320
122592343,122594315,A430028G04Rik,122592343,122594315
67933177,68018241,Cep192,67933177,68018241
67933177,68018241,Cep192,67933183,67938447
67933177,68018241,Cep192,67933204,67963364
67933177,68018241,Cep192,67974081,68018239
67933177,68018241,Cep192,67984417,67984872
67933177,68018241,Cep192,67986730,67987226
67933177,68018241,Cep192,67987132,67987454
67933177,68018241,Cep192,67987214,68018241
67933177,68018241,Cep192,67990764,67991443
67933177,68018241,Cep192,67993416,67994061
67933177,68018241,Cep192,68003398,68003997
67933177,68018241,Cep192,68013449,68014378
122613385,122613970,Gm47582,122613385,122613970
40506007,40557843,Ddo,40506007,40525927
40506007,40557843,Ddo,40506016,40550813
40506007,40557843,Ddo,40506020,40550911
40506007,40557843,Ddo,40506039,40557843
40506007,40557843,Ddo,40506042,40517564
40506007,40557843,Ddo,40506073,40550911
40506007,40557843,Ddo,40507600,40513780
124737016,124746636,Eno2,124737016,124740575
124737016,124746636,Eno2,124737018,124746584
124737016,124746636,Eno2,124737018,124746636
124737016,124746636,Eno2,124737328,124745300
124737016,124746636,Eno2,124737888,124746483
124737016,124746636,Eno2,124738121,124740249
124737016,124746636,Eno2,124738180,124740285
124737016,124746636,Eno2,124739620,124740884
124737016,124746636,Eno2,124740730,124745293
124737016,124746636,Eno2,124740833,124745339
124737016,124746636,Eno2,124743104,124746447
124737016,124746636,Eno2,124743185,124745294
124737016,124746636,Eno2,124743248,124746513
124737016,124746636,Eno2,124743733,124745300
124737016,124746636,Eno2,124743911,124746479
124737016,124746636,Eno2,124744671,124746449
111565160,111565248,Snord111,111565160,111565248
15011066,15011586,Gm16350,15011066,15011586
34820125,34820550,Gm20463,34820125,34820550
111569015,111569090,Gm22193,111569015,111569090
48723283,48724020,Gm32842,48723283,48724020
49083965,49084204,Gm45772,49083965,49084204
24746215,24753184,Rab26,24746215,24752700
24746215,24753184,Rab26,24748028,24752862
24746215,24753184,Rab26,24748039,24752686
24746215,24753184,Rab26,24748295,24748920
24746215,24753184,Rab26,24748515,24753184
15061025,15083333,Kbtbd11,15061025,15083333
15061025,15083333,Kbtbd11,15061306,15077093
15061025,15083333,Kbtbd11,15077290,15083333
15061025,15083333,Kbtbd11,15082390,15082964
49296700,49322936,Gm19744,49296700,49322051
49296700,49322936,Gm19744,49296757,49300521
49296700,49322936,Gm19744,49296832,49298144
49296700,49322936,Gm19744,49297076,49297549
49296700,49322936,Gm19744,49297138,49297643
49296700,49322936,Gm19744,49308452,49322936
15065092,15068907,5830468F06Rik,15065092,15068907
49411385,49411516,Gm25830,49411385,49411516
49497315,49499052,Gm45830,49497315,49499052
15074326,15078422,Gm37844,15074326,15078422
49516914,49524894,Gm45829,49516914,49524894
49683562,49685004,Gm45832,49683562,49685004
15091444,15096078,BB014433,15091444,15096069
15091444,15096078,BB014433,15092502,15096078
15091444,15096078,BB014433,15091535,15093077
15094563,15095648,Gm45276,15094563,15095648
15096212,15100770,Gm45274,15096212,15100770
49823921,50002029,4930555F03Rik,49823921,49830399
49823921,50002029,4930555F03Rik,49823921,50002029
49823921,50002029,4930555F03Rik,49823948,49955019
49823921,50002029,4930555F03Rik,49938516,49974130
49823921,50002029,4930555F03Rik,49916358,49954926
123479364,123481621,Gm42510,123479364,123481621
123536946,123537052,U6,123536946,123537052
123554976,123555576,Gm15400,123554976,123555576
37887484,38032025,Myof,37887676,37904198
37887484,38032025,Myof,37887676,38032025
37887484,38032025,Myof,37887758,38031799
37887484,38032025,Myof,37887916,37889951
37887484,38032025,Myof,37887972,37955574
37887484,38032025,Myof,37888049,37892170
37887484,38032025,Myof,37892145,37894272
37887484,38032025,Myof,37904054,37905353
37887484,38032025,Myof,37907791,37928429
37887484,38032025,Myof,37936174,38031806
37887484,38032025,Myof,37967862,38031847
37887484,38032025,Myof,37887484,38032025
123777746,123778753,Gm15399,123777746,123778753
115459245,115459678,Ighv1-63,115459245,115459678
124039886,124112633,Gm43731,124039886,124112633
69967246,69968265,Gm6316,69967246,69968265
49915488,49917774,Gm45577,49915488,49917774
124085725,124086154,Gm9372,124085725,124086154
49938805,49941680,Gm45697,49938805,49941680
122627960,122628388,Gm36208,122627960,122628388
49974459,49975443,Gm45696,49974459,49975443
124097833,124098079,Gm42824,124097833,124098079
122820979,122822460,D630033A02Rik,122820979,122821736
122820979,122822460,D630033A02Rik,122821311,122822460
50271972,50402041,Gm45321,50271972,50296470
50271972,50402041,Gm45321,50274471,50401106
50271972,50402041,Gm45321,50349091,50402041
115462639,115462714,,115462639,115462714
69977678,69977987,7SK,69977678,69977987
122821545,122821629,Mirlet7i,122821545,122821629
124114504,124118392,Tram1l1,124114504,124118392
31440870,31523916,Slc26a3,31440870,31500971
31440870,31523916,Slc26a3,31488216,31523494
31440870,31523916,Slc26a3,31488218,31502863
31440870,31523916,Slc26a3,31488218,31523916
31440870,31523916,Slc26a3,31488232,31502889
31440870,31523916,Slc26a3,31497434,31505078
31440870,31523916,Slc26a3,31520871,31521822
40559278,40687079,Mettl24,40559278,40687079
50291103,50292463,Gm45322,50291103,50292463
50412518,50466419,Gm45323,50412518,50466419
50442942,50448579,Gm45324,50442942,50448579
50570780,50970924,Gm45341,50570780,50970924
124179316,124179646,Gm4617,124179316,124179646
50654648,50970715,Gm45455,50654648,50970715
50654648,50970715,Gm45455,50845745,50970677
124191735,124193407,4921527H02Rik,124191735,124193407
95222102,95230910,Cers2,95222102,95229191
95222102,95230910,Cers2,95222395,95230910
95222102,95230910,Cers2,95222558,95228084
95222102,95230910,Cers2,95222578,95228634
95222102,95230910,Cers2,95224661,95227861
95222102,95230910,Cers2,95225332,95228353
95222102,95230910,Cers2,95226103,95229266
95222102,95230910,Cers2,95227444,95229983
95222102,95230910,Cers2,95228251,95229268
50821147,50869123,Gm2516,50821147,50869123
50842127,50843132,Gm45259,50842127,50843132
51016276,51016338,Gm23986,51016276,51016338
51196326,51370032,C130073E24Rik,51196326,51370032
51196326,51370032,C130073E24Rik,51251821,51370032
40707617,40759307,Cdc40,40707617,40759307
40707617,40759307,Cdc40,40716484,40721933
40707617,40759307,Cdc40,40720456,40759105
40707617,40759307,Cdc40,40721160,40759088
40707617,40759307,Cdc40,40732371,40759136
51590665,51590882,Gm45386,51590665,51590882
51630718,51633643,Gm32975,51630718,51633643
51728925,51729960,Gm8679,51728925,51729960
51906430,51907306,Gm17911,51906430,51907306
52332598,52333232,Gm6458,52332598,52333232
52478022,52484306,Gm45389,52478022,52484306
52494459,52494603,,52494459,52494603
52531639,52531777,Gm24929,52531639,52531777
52533198,52552785,Gm45388,52533198,52552785
52533198,52552785,Gm45388,52533440,52543120
52649100,52650091,Gm9892,52649100,52650091
52731541,52732506,Gm6463,52731541,52732506
52789950,52790140,Gm25813,52789950,52790140
52809646,52856374,1190028D05Rik,52809646,52856374
53007392,53007749,Gm45673,53007392,53007749
68040699,68041995,Gm8887,68040699,68041995
53227166,53227703,Gm9685,53227166,53227703
56867965,56891585,Safb2,56867965,56871516
56867965,56891585,Safb2,56867973,56871567
56867965,56891585,Safb2,56869939,56874015
56867965,56891585,Safb2,56869939,56891512
56867965,56891585,Safb2,56869939,56891585
56867965,56891585,Safb2,56869949,56879498
56867965,56891585,Safb2,56870305,56874018
56867965,56891585,Safb2,56872997,56878438
56867965,56891585,Safb2,56874533,56876434
56867965,56891585,Safb2,56875895,56882097
56867965,56891585,Safb2,56875991,56891524
56867965,56891585,Safb2,56877081,56882519
56867965,56891585,Safb2,56878026,56878677
56867965,56891585,Safb2,56878268,56891562
56867965,56891585,Safb2,56883331,56890046
56867965,56891585,Safb2,56883460,56891301
56867965,56891585,Safb2,56885873,56891511
53459443,53459558,Gm23666,53459443,53459558
68066328,68401701,Ldlrad4,68066328,68388622
68066328,68401701,Ldlrad4,68361138,68401701
53889135,53933685,Gm45554,53889135,53933533
53889135,53933685,Gm45554,53889253,53920227
53889135,53933685,Gm45554,53898704,53933685
53946798,53946859,U7,53946798,53946859
53946888,53946949,Gm22841,53946888,53946949
15107653,15183541,Myom2,15107653,15183541
15107653,15183541,Myom2,15108975,15113965
15107653,15183541,Myom2,15110190,15123840
15107653,15183541,Myom2,15156025,15158840
15107653,15183541,Myom2,15169007,15181160
68231418,68251445,Gm41764,68231418,68251445
68301519,68302038,Gm18149,68301519,68302038
68393258,68433404,Fam210a,68393258,68433404
68393258,68433404,Fam210a,68408988,68433273
152805776,152816823,Samt1b,152805776,152816823
152805776,152816823,Samt1b,152805776,152815447
90229027,90234241,Olfr1274,90229027,90234241
90229027,90234241,Olfr1274,90230984,90232018
33746469,33753300,Gm6093,33746469,33753300
33746469,33753300,Gm6093,33748058,33752852
33751777,33751988,Gm25043,33751777,33751988
33753004,33756069,Gm47916,33753004,33756069
33780018,33780759,Gm5194,33780018,33780759
33825608,33825766,Gm11388,33825608,33825766
152826982,152838035,Samt1c,152826982,152838035
74916038,74916980,Gm6296,74916038,74916980
40751636,40751878,7SK,40751636,40751878
52989155,53083717,Auh,52989155,53073268
52989155,53083717,Auh,52989155,53083697
52989155,53083717,Auh,52994905,53083494
52989155,53083717,Auh,53040464,53083684
52989155,53083717,Auh,53049963,53083688
52989155,53083717,Auh,53050739,53077901
52989155,53083717,Auh,53061081,53083690
52989155,53083717,Auh,53062931,53077880
52989155,53083717,Auh,53062942,53073304
52989155,53083717,Auh,53064246,53083717
52989155,53083717,Auh,53064359,53066982
52989155,53083717,Auh,53066885,53077904
52989155,53083717,Auh,53072810,53077896
52989155,53083717,Auh,53082525,53083688
177987086,178049478,Sycp2,177987086,178049478
177987086,178049478,Sycp2,177987912,178016723
177987086,178049478,Sycp2,178011183,178017063
177987086,178049478,Sycp2,178037058,178049215
40759471,40814566,Wasf1,40759471,40814565
40759471,40814566,Wasf1,40759823,40814566
68393991,68394044,Mir7219,68393991,68394044
152848309,152851135,Gm15143,152848309,152851135
38090484,38102827,Fchsd1,38090484,38093524
38090484,38102827,Fchsd1,38090487,38102827
38090484,38102827,Fchsd1,38096017,38097114
38090484,38102827,Fchsd1,38098711,38102822
38090484,38102827,Fchsd1,38098749,38100802
38090484,38102827,Fchsd1,38100671,38101105
38090484,38102827,Fchsd1,38100692,38102822
38090484,38102827,Fchsd1,38100693,38102810
38090484,38102827,Fchsd1,38100858,38102822
